---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnV
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnV
data,D,DE,-4.00592594902194,-5.06928113506734
data,C,BC,-2.12338518260342,-3.13696002611288
data,D,DE,-3.95472371614405,-3.17120885925743
data,D,DE,-2.68669309320535,-1.82872768705368
data,C,DE,-5.42627426046361,-4.81016852114621
data,C,DE,-4.27997022964334,-4.16532613827987
data,D,DE,-3.87258479713497,-3.76719625457714
data,D,DE,-3.39315917606234,-2.84848575582257
data,C,BC,-5.65845341172324,-6.40233812682749
data,C,BC,-4.07211268308237,-4.59020478961599
data,C,BC,-5.10126142964414,-5.61064714007404
data,D,DE,-1.45970963777766,-1.48882871886805
data,D,DE,-3.46928637080328,-3.06896074355779
data,C,BC,-2.42795466822517,-2.64796839665605
data,C,BC,-3.99283978209467,-4.95999419049998
data,B,AB,-5.46754717511025,-5.80524254567101
data,D,DE,-2.51944681096884,-3.6938976761433
data,C,BC,-2.89795926798244,-3.5168167854716
data,D,DE,-2.30660097640492,-3.00480583108679
data,C,BC,-4.281546696376,-3.87237221042467
data,D,DE,-4.48922638190859,-4.88467065151435
data,C,BC,-4.29293785709414,-4.41662335972764
data,C,BC,-2.50203790614774,-2.88823184027847
data,D,DE,-2.48663057104523,-2.91979004275646
data,D,DE,-3.45816309266619,-3.64226900547927
data,C,DE,-4.42746190795914,-3.66838261968028
data,C,DE,-4.53441762785503,-4.83702918093531
data,C,BC,-3.12746461783436,-4.01883014618685
data,C,BC,-1.92611647601686,-1.93250493466132
data,D,DE,-4.09849660527846,-3.05701334824546
data,D,DE,-1.43166452231083,-1.85723695378523
data,C,BC,-3.68548969201036,-4.07054778942121
data,C,BC,-2.90761318691167,-3.58490106402601
data,D,DE,-0.35940576004538,-0.465006589473543
data,C,DE,-2.38962496018134,-1.30666222713297
data,C,BC,-3.98610151005457,-5.03105575299927
data,D,DE,-2.16374732831214,-1.5175910158027
data,D,DE,-2.27210790070065,-2.23237023036392
data,D,DE,-2.07205546578681,-1.82471132064456
data,C,DE,-4.37871179795393,-4.8557777427937
data,C,BC,-2.07932672495655,-2.24515067143362
data,B,BC,-1.6588495068849,-1.85810928687741
data,C,BC,-3.62297258747847,-3.01761696391049
data,D,DE,-4.42186465808361,-3.95572460332771
data,D,DE,-1.86101488944686,-2.07306527175119
data,C,BC,-3.86931866877512,-4.3136410049483
data,E,DE,-3.9243260205114,-3.2596360580826
data,C,BC,-4.20597219004985,-3.55105238390901
data,C,DE,-3.13650822437178,-3.89433849599916
data,D,DE,-2.61263483318219,-3.06103432471102
data,C,DE,-3.60480531177159,-3.65757106894576
data,D,DE,-2.12833858584679,-1.4151620122891
data,C,DE,-4.39950737960604,-4.58650426198226
data,D,DE,-2.56768623220199,-1.96859996889176
data,D,DE,-4.48342000594287,-3.92422279989769
data,D,DE,-2.48114931138395,-2.96435454634124
data,D,DE,-4.70601002218899,-5.01785404419176
data,C,DE,-3.21053312825792,-3.13108007618708
data,D,DE,-5.26770824750182,-5.05093201389303
data,C,DE,-4.24073545706256,-4.23965938232817
data,D,DE,-4.35691964180761,-4.12784306850653
data,D,DE,-4.74282778337966,-4.62279679692491
data,D,DE,-5.24412161286373,-3.72403330118313
data,C,BC,-2.5949247080146,-2.54646946384033
data,C,BC,-3.25102478993747,-3.22152554605524
data,C,BC,-2.78527208602036,-2.46628527371871
data,D,DE,-5.35439012922185,-5.12073133349419
data,D,DE,-3.3613964032273,-4.51563806999136
data,D,DE,-3.32652906752237,-3.69879117469327
data,D,DE,-3.49506636666775,-4.09987446655363
data,C,BC,-3.68013490123503,-3.03500247198372
data,D,DE,-2.19587997817293,-2.71193616943854
data,D,DE,-3.08336099139165,-2.31494349025009
data,C,DE,-4.27984912197164,-4.85500665495011
data,C,BC,-2.91315102224006,-2.81306267336822
data,C,DE,-1.66340213161647,-1.23517181888487
data,C,DE,-3.43373607878614,-4.3858642090911
data,C,DE,-2.0721441495656,-1.6802005096249
data,C,BC,-5.504816667778,-6.61748308878847
data,C,BC,-4.71564379311215,-4.96346332935763
