---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnVRMS
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnVRMS
data,C,DE,-5.62382060216314,-7.74444958832057
data,D,DE,-2.30660097640492,-4.2433744739648
data,C,DE,-4.96457532913991,-5.99096811219112
data,D,DE,-4.78054410716967,-6.76803578960391
data,D,DE,-1.72668333910891,-2.50171242998678
data,D,DE,-4.0619066646981,-5.73973297310203
data,D,DE,-4.78997192969702,-6.43543704646097
data,C,BC,-3.20306608154156,-5.53872858017121
data,C,DE,-3.6780270455098,-5.5829552662995
data,D,DE,-3.93755378293643,-4.93391229785631
data,C,DE,-3.06121912697473,-4.76987846993556
data,D,DE,-3.2790515141162,-4.17475585053903
data,C,DE,-5.59268526367113,-8.21330733520791
data,C,BC,-5.14145922174613,-6.53802272800526
data,D,DE,-3.55191161136713,-4.14691198208042
data,D,DE,-3.60385110551886,-4.98998590587719
data,D,DE,-4.18080750032954,-7.01837849887779
data,C,BC,-2.19406348229679,-4.49698459855544
data,C,DE,-3.5091205052501,-5.79401951599749
data,C,BC,-2.89571112595378,-5.11969503135426
data,C,BC,-2.97159512320008,-4.93239146977769
data,C,BC,-4.69314075994908,-5.54296557682173
data,D,DE,-0.180451981793874,-1.85044719383821
data,C,BC,-2.12396724469801,-3.39174249792255
data,C,BC,-3.67656462659416,-4.88414766851197
data,C,BC,-3.76881913811026,-5.70415652220446
data,E,DE,-4.32387135500649,-5.44910400696683
data,C,BC,-4.26878012273051,-7.2516472100645
data,D,DE,-3.34334177112533,-5.17451832492092
data,D,DE,-3.37862431384853,-5.30296879485656
data,C,BC,-2.99417057010824,-4.41101058169398
data,C,BC,-2.34501139897141,-4.50507379405508
data,D,DE,-3.31658469586518,-5.28783074399131
data,D,DE,-3.58423341019249,-5.03568955944977
data,D,DE,-2.6862780907582,-4.80661887887344
data,C,DE,-3.05349247228878,-5.17530024133972
data,C,DE,-3.28496272398355,-5.24811672610699
data,C,DE,-4.00062068884103,-5.2037111712604
data,D,DE,-2.79686097606929,-3.7855237972254
data,C,DE,-3.83047574929936,-6.29568128145467
data,C,DE,-4.68680083272213,-6.38329311180483
data,D,DE,-4.69339885874837,-5.22285397429677
data,D,DE,-4.71339192453595,-5.48206312645375
data,C,DE,-4.04225570155781,-5.67401305793105
data,D,DE,-4.36002272698423,-5.52229999620001
data,D,DE,-3.72598869454634,-5.97837204012708
data,D,DE,-4.21126684509576,-6.02141964337649
data,D,DE,-2.92724781581237,-5.56387525067736
data,C,BC,-5.3714925374821,-6.13635176808917
data,C,BC,-4.73864750719365,-5.36020517542701
data,D,DE,-3.52726643780031,-5.15624555674736
data,C,DE,-4.25588245787182,-6.60864567235163
data,C,BC,-2.64027482399362,-3.82705503259498
data,C,BC,-2.58141519771909,-4.38027145254039
data,C,DE,-2.52370844480564,-4.73616013347217
data,D,DE,-4.54854296826709,-6.94206084112184
data,C,BC,-3.66012470025014,-5.15954533678029
data,D,DE,-4.35508675514468,-4.43972235502164
